152.61,-32.139
152.62,-32.14
152.62,-32.14
152.62,-32.141
152.63,-32.142
152.63,-32.143
152.64,-32.145
152.64,-32.145
152.65,-32.147
152.65,-32.147
152.66,-32.147
152.66,-32.148
152.66,-32.148
152.67,-32.149
152.67,-32.151
152.68,-32.152
152.68,-32.151
152.69,-32.152
152.69,-32.154
152.69,-32.151
152.7,-32.153
152.7,-32.154
152.71,-32.154
152.71,-32.154
152.72,-32.156
152.72,-32.157
152.72,-32.158
152.73,-32.159
152.74,-32.161
152.74,-32.162
152.74,-32.163
152.75,-32.164
152.75,-32.165
152.76,-32.166
152.76,-32.167
152.77,-32.168
152.77,-32.169
152.78,-32.169
152.78,-32.17
152.79,-32.17
152.79,-32.17
152.79,-32.171
152.8,-32.172
152.8,-32.17
152.81,-32.171
152.81,-32.172
152.81,-32.173
152.82,-32.172
152.82,-32.174
152.82,-32.176
152.82,-32.175
152.83,-32.178
152.83,-32.18
152.83,-32.182
152.84,-32.183
152.84,-32.185
152.84,-32.188
152.84,-32.189
152.85,-32.192
152.85,-32.195
152.85,-32.199
152.85,-32.202
152.86,-32.205
152.86,-32.209
152.86,-32.213
152.87,-32.216
152.87,-32.219
152.88,-32.225
152.88,-32.228
152.89,-32.231
152.89,-32.234
152.9,-32.238
152.9,-32.241
152.9,-32.244
152.91,-32.246
152.91,-32.247
152.9,-32.248
152.91,-32.249
152.91,-32.247
152.9,-32.245
152.9,-32.244
152.9,-32.24
152.89,-32.24
152.89,-32.239
152.89,-32.238
152.88,-32.235
152.88,-32.234
152.88,-32.234
152.87,-32.231
152.87,-32.231
152.87,-32.23
152.86,-32.23
152.86,-32.228
152.85,-32.227
152.85,-32.227
152.84,-32.226
152.84,-32.226
152.84,-32.226
152.83,-32.225
152.83,-32.227
152.82,-32.226
152.82,-32.226
152.82,-32.229
152.81,-32.229
152.81,-32.229
152.81,-32.231
152.8,-32.232
152.8,-32.233
152.79,-32.234
152.79,-32.237
152.78,-32.239
152.78,-32.241
152.78,-32.244
152.77,-32.247
152.76,-32.25
152.76,-32.253
152.75,-32.255
152.74,-32.259
152.74,-32.262
152.73,-32.264
152.72,-32.266
152.71,-32.269
152.71,-32.271
152.7,-32.273
152.69,-32.275
152.69,-32.277
152.68,-32.279
152.67,-32.281
152.66,-32.282
152.66,-32.284
152.65,-32.287
152.64,-32.288
152.64,-32.29
152.63,-32.292
152.63,-32.293
152.62,-32.293
152.62,-32.294
152.61,-32.298
152.6,-32.301
152.59,-32.304
152.59,-32.308
152.58,-32.306
152.58,-32.304
152.57,-32.305
152.57,-32.307
152.58,-32.308
152.58,-32.309
152.58,-32.312
152.59,-32.313
152.59,-32.315
152.6,-32.315
152.6,-32.318
152.61,-32.32
152.61,-32.321
152.61,-32.323
152.62,-32.326
152.62,-32.328
152.63,-32.328
152.63,-32.33
152.64,-32.332
152.64,-32.333
152.64,-32.335
152.65,-32.336
152.65,-32.338
152.65,-32.339
152.66,-32.34
152.66,-32.341
152.66,-32.341
152.67,-32.342
152.67,-32.343
152.67,-32.344
152.67,-32.345
152.68,-32.346
